url_name,model_name,verbose_name,arabic_name,attachments_arabic,form_fields_arabic,detail_models_arabic,detail_fields_arabic
app_export_gold_list,AppExportGold,Application: Export Gold,طلب صادر ذهب,‫إستمارة‬‫ الانتاج ‫الموقعة‬ ‫من‬ ‫الحقل‬ ‫(‫الشحن‬‫ والترحيل‬)‬، ‫إستمارة‬‫الشحن، ‫شهادة‬‫التحصيل‬ ‫للعوائد‬ ‫الجليلة‬ ‫وشهادة‬ ‫الزكاة‬ ‫وارباح‬ ‫االعمال‬ ‫وتنمية‬ ‫المجتمع ‫المحلي‬‫ صادرة‬ ‫عن‬ ‫مصفاة‬ ‫السودان‬ ‫للذهب‬، ‫إستمارة‬‫إستلام‬ ‫معادن‬ ‫من‬ ‫المصفاة، ‫شهادة‬‫تحليل‬ ‫من‬ ‫المواصفات‬ ‫والمقاييس‬ ‫(‬‫فحص ‬‫سبائك‬ ‫الصادر‬)، ‫خطاب ‬‫معنون‬ ‫الى‬ ‫وكيل‬ ‫اول‬ ‫وزارة‬ ‫التجارة‬ ‫الخارجية‬ ‫صادرة‬‫عن‬ ‫المواصفات ‫والمقاييس‬، ‫عقد‬‫البيع‬ ‫لسبائك‬ ‫الصادر‬، ‫شهادة‬‫التحليل‬ ‫من‬ ‫المصفاة‬,اجمالي انتاج الشركة بالجرام، اجمالي الوزن الصافي بالجرام، استلام الزكاة صافي بالجرام، استلام العوائد الجليلة صافي بالجرام، استلام ارباح اعمال صافي بالجرام (للمخلفات فقط)، الكمية المباعة لبنك السودان المركزي صافي بالجرام، الكمية المراد تصديرها صافي بالجرام، متبقي الذهب عند المصفاة,,
app_foreigner_procedure_list,AppForeignerProcedure,Application: Foreigner procedure,طلب اجراءات اجنبي,خطاب رسمي من الشركة، صورة من الجواز، السيرة الذاتية، شهادات الخبرة المعتمدة، صورة من الاقامة وعقد العمل في حالة كرت العمل فقط، صورة من الدعوة في حالة الزيارة ,، تاريخ البداية، تاريخ النهاية، الغرض من التصديق,تفاصيل اجراءات اجانب,الاسم، العنوان
app_aifaa_jomrki_list,AppAifaaJomrki,Application: Aifaa Jomrki,طلب اعفاء جمركي,كشف الاحتياجات المجاز، تصديق وزارة المالية المبدئي، الفواتير النهائية، بوليصة الشحن، شهادة الفحص، شهادة المنشأ، شهادة التغليف، شهادة المواصفات، قوائم التعبئة,,تفاصيل اعفاء جمركي,المواد المطلوبة
app_requirements_list_list,AppRequirementsList,Application: Requirements List,طلب كشف احتياجات,خطة العمل المجازة، فاتورة مبدئية، شهادة المواصفات، كشف المسحوبات من الجمارك للكشف السابق ان وجد، الفواتير السابقة,,معدات المناجم، معدات المصنع، محطة الكهرباء، معدات المعمل الكيميائي، المواد الكيميائية، المتفجرات، الاليات والمتحركات,البند، الوصف، الكمية
app_visibility_study_list,AppVisibityStudy,Application: Visibity Study,طلب دراسة جدوى,المرفقات,، اسم منطقة الدراسة، نوع الدراسة، تعليق مختصر عن الدراسة,إحداثيات منطقة الدراسة,Point ID، Long/ East/ X، Lat/ West/ Y
app_local_purchase_list,AppLocalPurchase,Application: Local Purchase,طلب شراء محلي,ملف خطاب الشركة، ملف الفواتير,,,
app_cyanide_certificate_list,AppCyanideCertificate,Application: Cyanide Certificate,طلب شهادة مستخدم سيانيد,ملف خطاب الشركة,,,
app_renewal_contract_list,AppRenewalContract,Application: Renewal Contract,طلب تجديد عقود ورخص تعدين,المرفقات,,,
app_import_permission_list,AppImportPermission,Application: Import Permission,طلب اذن ادخال مواد,ملف كشف المواد المراد ادخالها,,تفاصيل ادخال مواد,نوع المواد، الكمية
app_fuel_permission_list,AppFuelPermission,Application: Fuel Permission,طلب موافقة وقود,ملف خطاب الشركة,,تفاصيل موافقة وقود,نوع الوقود، كمية الوقود
app_whom_concern_list,AppWhomConcern,Application: Whom may concern request,طلب شهادة لمن يهمه الامر,ملف شهادة لمن يهمه الامر,الغرض من الشهادة، الموضوع,,
